"ppvtr.36","first","b.marr","income","momage","momed","momrace","missing_ppvtr.36","missing_b.marr","missing_income","missing_momed","missing_momrace","_mi","_mj"
105,"1","1",21446,20,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,1,0
91,"1","1",12125,22,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,2,0
89,"0","1",13560,22,"2","1",FALSE,FALSE,FALSE,FALSE,FALSE,3,0
85,"0","1",24500,28,"3",NA,FALSE,FALSE,FALSE,FALSE,TRUE,4,0
66,"0","0",3304,20,"1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,5,0
NA,"0","0",5832,27,"2",NA,TRUE,FALSE,FALSE,FALSE,TRUE,6,0
92,"1","0",17022,26,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,7,0
94,"1","1",13000,23,"3","3",FALSE,FALSE,FALSE,FALSE,FALSE,8,0
124,"1","1",30100,25,"4",NA,FALSE,FALSE,FALSE,FALSE,TRUE,9,0
NA,"1","1",34424,26,"3","2",TRUE,FALSE,FALSE,FALSE,FALSE,10,0
83,"0","0",17500,23,"3","1",FALSE,FALSE,FALSE,FALSE,FALSE,11,0
69,"1","0",25000,20,"3","1",FALSE,FALSE,FALSE,FALSE,FALSE,12,0
NA,"0","1",22153,27,"2","2",TRUE,FALSE,FALSE,FALSE,FALSE,13,0
87,"0","1",NA,21,"1",NA,FALSE,FALSE,TRUE,FALSE,TRUE,14,0
41,"0","1",46000,25,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,15,0
NA,"0","1",NA,27,"3",NA,TRUE,FALSE,TRUE,FALSE,TRUE,16,0
NA,"1","1",2441,23,"2","2",TRUE,FALSE,FALSE,FALSE,FALSE,17,0
97,"1","1",25600,23,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,18,0
76,"0","0",0,24,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,19,0
115,"1","1",39700,24,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,20,0
106,"0","1",NA,28,NA,"3",FALSE,FALSE,TRUE,TRUE,FALSE,21,0
57,"0","1",5016,25,"1","2",FALSE,FALSE,FALSE,FALSE,FALSE,22,0
92,"0","0",18000,28,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,23,0
NA,"0","1",44800,27,"4","3",TRUE,FALSE,FALSE,FALSE,FALSE,24,0
NA,"0","1",18650,29,"2","3",TRUE,FALSE,FALSE,FALSE,FALSE,25,0
75,"1","1",14040,25,"2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,26,0
69,"1","0",5200,25,"3","2",FALSE,FALSE,FALSE,FALSE,FALSE,27,0
104,"1","1",21600,26,"3",NA,FALSE,FALSE,FALSE,FALSE,TRUE,28,0
52,"0","1",NA,22,"2",NA,FALSE,FALSE,TRUE,FALSE,TRUE,29,0
83,"0","1",24640,25,"2","3",FALSE,FALSE,FALSE,FALSE,FALSE,30,0
120,"0","1",NA,28,"2","3",FALSE,FALSE,TRUE,FALSE,FALSE,31,0
70,"0","0",6383.99999999999,24,"1","1",FALSE,FALSE,FALSE,FALSE,FALSE,32,0
82,"0","1",10200,24,"2","2",FALSE,FALSE,FALSE,FALSE,FALSE,33,0
66,"0","1",NA,28,"3","2",FALSE,FALSE,TRUE,FALSE,FALSE,34,0
44,"0","1",NA,25,"1","2",FALSE,FALSE,TRUE,FALSE,FALSE,35,0
55,"0","1",32000,25,"3",NA,FALSE,FALSE,FALSE,FALSE,TRUE,36,0
NA,"0","0",6096,26,NA,"1",TRUE,FALSE,FALSE,TRUE,FALSE,37,0
